Inspection Date,Asset Type,Location of Asset,Serial No,Brand,Model,Power on (Yes/No),Accessories,OS,CPU Speed,Manufacturer,Ram,Ram Type,Slots Qty,HDD Size,Display Size,Integrated WebCam (Y/N),Battery ,Wifi (Y/N),"Physical Damage (Yes/No), If Yes, Mention What","Functional Issues (Yes/No), If Yes, Mention what",Repairable (Yes/No),Additional Remarks
22/09/2023,WINDOWS,GURUGRAM,FJHLNH2,DELL,5480,YES,,WIN,I5 7TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,DISPLY PANAL DAMEGE&KBD PANAL DAMEGE,DISPLY PANAL DAMEGE KBD PANAL DAMEGE,YES,DISPLY PANAL DAMEGE
22/09/2023,WINDOWS,GURUGRAM,G2QLNH2,DELL,5480,NO,,WIN,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY
22/09/2023,WINDOWS,GURUGRAM,BLHLNH2,DELL,5480,NO,,WIN,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY
22/09/2023,WINDOWS,GURUGRAM,DMLLNH2,DELL,5480,NO,,WIN,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY
22/09/2023,WINDOWS,GURUGRAM,CTLLNH2,DELL,5480,YES,,WIN,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,HANGING PROBLAM,HANGING PROBLAM,YES,HANGING
22/09/2023,WINDOWS,GURUGRAM,GKHLNH2,DELL,5480,YES,,WIN,I5 7TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,POOR,YES,KBD KEYS MISSING,KBD ISSUE,YES,KBD ISSUE
22/09/2023,WINDOWS,GURUGRAM,J3QLNH2,DELL,5480,YES,,WIN,I5 7TH,INTEL,8 GB,DDR-4,2,NO HDD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,CSSGVT2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,POOR,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,5NSGVT2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,256 GB,"14""",YES,POOR,YES,OK,CPU FAN NOICE,YES,FAN ISSUE
22/09/2023,WINDOWS,GURUGRAM,7HFKTN2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,"DISPLY PANAL DAMEGE,C, D PANAL DAMEGE","A,C,D, PANAL DAMEGE",YES,PANAL DAMEGE
22/09/2023,WINDOWS,GURUGRAM,3CJ2TT2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,WHITE DOTS,WHITE DOTS,YES,WHITE DOTS
22/09/2023,WINDOWS,GURUGRAM,GCBRTN2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,POOR,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,74140X2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,66NPNQ2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,KBD PANAL DAMEGE,WHITE DOTS,YES,WHITE DOTS
22/09/2023,WINDOWS,GURUGRAM,1QPJTN2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,GOOD,YES,DISPLY PANAL DAMEGE,DISPLY PANAL DAMEGE,YES,DISPLY PANAL DAMEGE
22/09/2023,WINDOWS,GURUGRAM,HCR6TTN,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,FAIR,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,FFWJTN2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,EXCELENT,YES,WHITE DOTS,WHITE DOTS,YES,WHITE DOTS
22/09/2023,WINDOWS,GURUGRAM,6RPJTN2,DELL,5490,YES,,WIN,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,SCREEN DAMEGE,SCREEN DAMEGE,YES,SCREEN DAMEGE
22/09/2023,WINDOWS,GURUGRAM,JDPMVT2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,EXCELENT,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,CYG78Y2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,GOOD,YES,KBD ISSUE,KBD ISSUE,YES,KBD ISSUE
22/09/2023,WINDOWS,GURUGRAM,1MJ8TT2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"14""",YES,FAIR,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,4LJ8TT2,DELL,5490,NO,,WIN,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"14""",YES,NO CHECK,YES,NO DISPLY ,NOT ON,YES,NO DISPLY
22/09/2023,WINDOWS,GURUGRAM,3SSKTN2,DELL,5490,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,500 GB,"14""",YES,NO BATTRY,YES,HINZ BROKEN,HINZ BROKEN,YES,HINZ BROKEN
22/09/2023,WINDOWS,GURUGRAM,9Q8XNQ2,DELL,7290,YES,,WIN,NO CHWCK,INTEL,NO CHECK,DDR-4,2,NO CHECK,"12.5""",YES,NO CHECK,YES,HANGING PROBLAM,HANGING PROBLAM,YES,HANGING
22/09/2023,WINDOWS,GURUGRAM,D5KLVT2,DELL,7290,YES,,WIN,I5 8TH,INTEL,8 GB,DDR-4,2,256 SSD,"13""",YES,FAIR,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,7R2PPQ2,DELL,7520,YES,,WIN,I7 7TH,INTEL,32 GB,DDR-4,2,512 SSD,"15.6""",YES,FAIR,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,C3RJPH2,DELL,7720,YES,,WIN,I7 7TH,INTEL,32 GB,DDR-4,2,500 GB,"17""",YES,EXCELENT,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,8NKZXT2,DELL,7730,YES,,WIN,I7 8TH,INTEL,64 GB,DDR-4,2,256 SSD,"17""",YES,GOOD,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,HS67152,DELL,E5550,YES,,WIN,I5 5TH,INTEL,4 GB,DDR-3,2,500 GB,"15.6""",YES,POOR,YES,OK,OK,YES,OK
22/09/2023,WINDOWS,GURUGRAM,DS67152,DELL,E5550,YES,,WIN,I5 5TH,INTEL,4 GB,DDR-3,2,500 GB,"15.6""",YES,EXCELENT,YES,OK,OK,YES,OK
